type,id,parent_id,text
comment,Ugw349rTUhsV2v-cOXR4AaABAg,,Seret sudah yang penghianat bangsa
comment,UgxL1JpS71RU9q7MlVR4AaABAg,,Polri membela yg palsu krn kapolri hasil karbitan yg palsu
comment,Ugy_mC6mkMCbttWu7H54AaABAg,,roy sukro cengar cengir😂😂
comment,Ugzf-xZamgIIVbfSQ4J4AaABAg,,sebaiknya  UGM  Mempertimbangkan ... untuk mengevaluasi  Almamaternya ..beliau..RS
comment,UgziJ--UZq7pit8l2Kx4AaABAg,,segera ditsngkst saja ...............memuakan argumentnya..........RS.. tidak pecaya UGM dan Bareskrim
comment,Ugy5E8k0IiyRXfLJWlh4AaABAg,,"Asyik ini , hasil perasaan"
comment,UgydaforOdmwnCCQOFx4AaABAg,,Maju terus pantang mundur <br>Roy Suryo
comment,Ugw5apWhU-779bVPfAV4AaABAg,,"Bisa ga di usut tuntas dan di cari dalangnya dan di tangkap oknum2 yg menuntut jika ternyata bersalah, biar terang benderang ke masyarakat indonesia kalau dalang nya dan motif nya, sehingga biar masyarakat indonesia bisa melihat bahwa negara ini ada dalang, oknum2 dan sekolompok yang selalu membuat kegaduhan"
comment,Ugwz__57UK4nThIU8Hd4AaABAg,,"Ijazah dicari asli/ autentik, bukan identik /sama ( uang palsu itu sama persis dg aslinya tapi palsu)"
comment,Ugy4r1mWTtwBOazkZ194AaABAg,,"Kalau takut mati jujurlah, kalau tdk takut mati nipulah"
comment,UgwCehKOrpvvk-Mu6AR4AaABAg,,kyane perlu di cek kejiwaan roy suryo lhooo...😂😂
comment,Ugx2WtDZarzilpYf3YB4AaABAg,,Yang di permasalahkan itu keaslian apanya tow jane ??<br>Kan tinggal diliat nomor ijazahnya<br>Trus cek di DIKTI...<br>gak perlu melebar kemana-mana...<br><br>Gak perlu pake uji kertas dan juga tinta atau uji karbon...<br><br>Kl gini terus aku malah yakin...ini masalah ijazah sengaja di goreng terus untuk pengalihan isu atau bahasa jawanya ngelimpekne fokus rakyat.
comment,UgwANmvemE7-LORRDu94AaABAg,,"Kalian ingat gak kata2 prabowo kalau di tahun 2030 indonesia mungkin tidak ada lagi.<br>Kalau seperti ini terus pemerintan kita, berarti besar kemungkinan indonesia akan pecah belah."
comment,UgwwcohOmf2SlBXbdj54AaABAg,,Roy suryo itu lakii pa prempuan?tes aja ax ndak prcaya roy suryo itu laki&quot; kan kaya emak&quot;banyak omong..tes pakai apapun ax ndak percaya Roy itu lakii&quot;
comment,UgxFepU9tf2ZSACPKIF4AaABAg,,Projek besar roy suryo....gagal lagi
comment,Ugxbcps9fCoa-PBIwXd4AaABAg,,Pidanakan roy suryo ..tangkap penjarakan 8 THN penjara
comment,UgzA3gFmVAaWA9mC4UR4AaABAg,,Netizen kebanyakan gak ngerti demokrasi.. Bisanya cuma menghujat...
comment,UgxGvsci6iXSzbuyFPR4AaABAg,,Gw cabut juga kumis lo roy
comment,UgyVETBX3nCyk9IpA3t4AaABAg,,"kalo menurut saya, kalo denger dari penjelasan roy suryo cs, kalo skipsinya salah, pasti nggak akan terbit ijazah"
comment,UgxxFfTZniKUl18U-514AaABAg,,"Roy suryo kami rakyat indonesia mendukungmu,semoga kebenaran akan terungkap"
comment,UgylrPeiuTRNQs7SBO54AaABAg,,Tangkap roy surio cs
comment,UgwHTLhm24m5hLTcrfZ4AaABAg,,Sedih liat ini...
comment,UgwxU6QTQcB0TZTSGnt4AaABAg,,"Memang boleh ya seseorang datang ke kampus untuk melihat Ijazah seseorang, meskipun seseorang tersebut adalah Alumni kampus tersebut, saat melihat Ijazah seseorang meskipun ijazahnya berupa fotokopi, terus seseorang tersebut mengatakan bahwa ijazahnya palsu, padahal Ijazah adalah termasuk barang pribadi seseorang"
comment,UgyWtAQyI25nDyzxeeF4AaABAg,,Mas yakub serasa skolah lg 😂😅
comment,UgzaYwaALBU4EnX_QF14AaABAg,,Bahasa Roy sebagai ilmuwan kurang santun 😮
comment,Ugz6BrJwGeNCgA-idpt4AaABAg,,Orang g mau menerima kenyataan akan kebenaran
comment,UgzsbQ7yX6TqYw_kYe14AaABAg,,Simple aja<br>Uji rekening aja siapa yg pling bnyk uang
comment,Ugx81-i9OP13JBYRIap4AaABAg,,Tangkap dan adili roy suryo
comment,UgyHguh8U30CKJ7F5CZ4AaABAg,,Kalau kita lihat Roy Suryo cengar cengir seperti itu apa tidak ada gangguan jiwa ?
comment,Ugy57-v-27DVglY3TXl4AaABAg,,Roy makin stress😂😂😂😂
comment,UgykNzBMNTaolj6JCKF4AaABAg,,Ada orang pintar yg meletakkan mahkota ilmiahnya demi menyelamatkan seorang pembohong utk sebuah keuntungan .
comment,UgzIMEs2oBlSiySu4Ip4AaABAg,,Smua pasti tau lah..ubah undang2 di mk saja klw jd  capres tdk perlu ijazah dan latar belakang pendidikan
comment,UgwRihojsiJ3OCK9UJd4AaABAg,,"roy suryo terlalu arogan dan sombong dengan segala narasinya.meremehkan argumen kuasa hukum dan pak susno.terlalu pintar si roy suryo,malah semakin bikin dia ga beradab."
comment,Ugw_G8k5ZtBw-ufQDq54AaABAg,,Ga percaya gw sama hasilnya ini mah udh keterlaluan!!
comment,UgwDW2jPG6Ibr8tU7CV4AaABAg,,Semangat mas roy dkk kejar terus sampe kamu masuk ke jeruji besi
comment,UgzdQ58QnsbfPhCvZjx4AaABAg,,semangat roy...terus maju...masih belum final...finalnya nanti klo roy dah   pake baju orange...😂😂
comment,Ugwp6AYZcvrxX92QlhR4AaABAg,,lama kelamaan makin gila ini Roy.
comment,UgyLdNUyw0Ys0MmUIzN4AaABAg,,"Orang seperti itu kok masih di undang di acara tv,seharusnya langsung di ciduk biar gk jadi virus masyarakat"
comment,UgwEEcvBK2x7JmWUg4B4AaABAg,,"Bosen lihat dengar nya , itu2 aja yg di perdebatkan, mengantuk kan media aja"
comment,UgzmFKSbXpweLkCP-uF4AaABAg,,😂😂siapapun tukang bohong tdk akan lepas pengadilan akherat ....
comment,UgxO6-rcb0oiWrQx5V54AaABAg,,Pakar telematika di luar negeri uda menciptakan robot dan inovasi semntara di indo ngurusin hal yang gk ada urusanya dia dan gk bermanfaat kacau x ah🙈<br>Kadang malu lihatnya
comment,UgzetUbxUSheOazR5Il4AaABAg,,"Klo benar2 ijasah asli apa rugi nya si mulyono dan si wereng coklat ijasah nya di tes di labfor luar negeri ,,,,begini lah klo urusan dgn orang yg rakus kekuasaan,,,,salam akal sehat"
comment,Ugwp1oaVjJqyuMZXnVR4AaABAg,,para perusuh akan tetap rusuh... selamanya. penjarakan segera
comment,Ugzm3Fl3pioWbqwZYqZ4AaABAg,,orang gangguan jiwa gini  di tampilkan di Tv teerus. roy roy..
comment,UgzOz7HHXTt-r7bsjrN4AaABAg,,Baju orange menunggu😂
comment,UgzKy-Bh4CROgPPeJSF4AaABAg,,Yang asli mana?
comment,UgzdRmc0yrUIP0N2-El4AaABAg,,Puasss banget liat gerombolan 24+16 tantrum kelojotan di sini... 🤣🤣🤣🤣🤣🤣🤣🤣🤣
comment,Ugx8f8kysHpUgxEvjzt4AaABAg,,"mukidi emg sadis alih2 sekedar menunjukan ijazah malah memilih melaporkan dan memenjarakan rakyat, lanjut pengadilan agar tahu Ending dr sebuah film Ijazah Palsu"
comment,UgzR7Ye2CTTlJkgPFy14AaABAg,,Udah ngakak ngakak ketawa ternyata salah 😢
comment,UgyzqJ8YyETp4V7OzPx4AaABAg,,Kayak nya ada yang akan mendapat makan gratis selain anak anak sekolah
